"","Samplename","Sample","Total_Reads","Mapped_Reads","Percentage_Mapped"
"1","Heart_ZT0_1","40657383 + 0",40657383,40390344,99.34
"2","Heart_ZT0_2","38713276 + 0",38713276,27195459,66.89
"3","Heart_ZT12_1","57933967 + 0",57933967,38413394,99.23
"4","Heart_ZT12_2","78869963 + 0",78869963,31229506,80.67
"5","Liver_ZT0_1","94642531 + 0",94642531,57483107,99.22
"6","Liver_ZT0_2","77028305 + 0",77028305,37014526,63.89
"7","Liver_ZT12_1","101214387 + 0",101214387,78070143,98.99
"8","Liver_ZT12_2","114753753 + 0",114753753,51528390,65.33
"9","Heart_ZT0_1","40657383 + 0",40657383,94103848,99.43
"10","Heart_ZT0_2","38713276 + 0",38713276,77949479,82.36
"11","Heart_ZT12_1","57933967 + 0",57933967,76569338,99.4
"12","Heart_ZT12_2","78869963 + 0",78869963,63716677,82.72
"13","Liver_ZT0_1","94642531 + 0",94642531,100677861,99.47
"14","Liver_ZT0_2","77028305 + 0",77028305,82357734,81.37
"15","Liver_ZT12_1","101214387 + 0",101214387,113481597,98.89
"16","Liver_ZT12_2","114753753 + 0",114753753,76709790,66.85
